,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
167,Havre-Saint-Pierre,90,CA,2017-09-08 22:00:00,87,50.23,-63.6,53.6,10.29
168,Hentiesbaai,36,NA,2017-09-08 22:55:00,97,-22.12,14.28,56.03,2.84
169,Hermanus,64,ZA,2017-09-08 22:55:00,96,-34.42,19.23,50.63,2.73
170,High Rock,92,BS,2017-09-08 22:55:01,100,26.62,-78.28,84.65,37.85
171,Hithadhoo,36,MV,2017-09-08 22:55:01,99,-0.6,73.08,84.92,14.25
172,Hofn,24,IS,2017-09-08 22:55:01,100,64.25,-15.21,47.48,6.98
173,Kalkerup,92,DK,2017-09-08 22:20:00,93,55.27,11.81,59.0,10.29
174,Honningsvag,48,NO,2017-09-08 22:55:02,86,70.98,25.97,46.04,16.71
175,Horasan,0,TR,2017-09-08 22:55:02,45,40.05,42.17,59.81,2.39
176,Hualmay,32,PE,2017-09-08 22:55:03,93,-11.1,-77.61,51.71,4.97
177,Humaita,32,BR,2017-09-08 22:55:03,94,-7.51,-63.02,73.31,2.17
178,Husavik,0,IS,2017-09-08 22:00:00,100,66.04,-17.34,41.0,3.06
179,Idah,88,NG,2017-09-08 22:55:04,99,7.11,6.73,71.87,3.29
180,Ikalamavony,0,MG,2017-09-08 22:55:04,54,-21.15,46.58,61.52,3.74
181,Ilhabela,0,BR,2017-09-08 22:55:05,97,-23.78,-45.36,67.73,10.78
182,Trevi,0,IT,2017-09-08 21:55:00,82,41.9,12.49,62.6,4.7
183,Ilulissat,0,GL,2017-09-08 21:50:00,50,69.22,-51.1,33.8,14.99
184,Imbituba,75,BR,2017-09-08 22:00:00,82,-28.24,-48.67,68.0,8.05
185,Impfondo,24,CG,2017-09-08 22:55:06,96,1.64,18.07,74.75,3.06
186,Inderbor,20,KZ,2017-09-08 22:55:07,54,48.55,51.78,71.33,6.42
187,Iqaluit,90,CA,2017-09-08 22:00:00,86,63.75,-68.51,39.2,18.34
188,Iquique,90,CL,2017-09-08 22:00:00,67,-20.22,-70.14,60.8,3.36
189,Iquitos,75,PE,2017-09-08 22:00:00,94,-3.75,-73.25,75.2,4.7
190,Olho d’Agua,0,BR,2017-09-08 22:55:08,86,-2.88,-39.95,76.28,14.03
191,Itirapina,8,BR,2017-09-08 22:55:09,56,-22.25,-47.82,62.06,7.2
192,Jaciara,8,BR,2017-09-08 22:55:09,66,-15.97,-54.97,71.33,3.06
193,Gialo,0,LY,2017-09-08 22:55:09,42,29.03,21.55,75.83,3.74
194,Jamestown,90,US,2017-09-08 22:36:00,93,42.1,-79.24,53.6,4.7
195,Jardim,56,BR,2017-09-08 22:50:29,45,-21.48,-56.14,74.93,6.98
196,Jeddah,0,SA,2017-09-08 22:00:00,74,21.52,39.22,87.8,11.41
197,Jijiga,8,ET,2017-09-08 22:55:11,68,9.35,42.8,69.98,6.76
198,Jutai,44,BR,2017-09-08 22:55:11,91,-5.18,-68.9,76.1,3.51
199,Kabwe,0,ZM,2017-09-08 22:55:11,50,-14.45,28.45,67.82,11.12
200,Kaka,0,TM,2017-09-08 22:55:12,37,37.35,59.61,80.15,5.97
201,Kalmunai,36,LK,2017-09-08 22:55:12,100,7.42,81.82,81.5,2.17
202,Kansanshi,0,ZM,2017-09-08 22:55:12,42,-12.1,26.43,63.23,9.89
203,Kapustin Yar,92,RU,2017-09-08 22:55:13,100,48.58,45.74,60.8,7.99
204,Karakol,48,KG,2017-09-08 22:55:13,24,42.49,78.39,67.91,1.95
205,Karaman,0,TR,2017-09-08 22:55:13,45,37.18,33.22,66.56,3.85
206,Karatau,24,KZ,2017-09-08 22:55:14,26,43.17,70.47,83.93,8.1
207,Kargasok,64,RU,2017-09-08 22:55:14,69,59.06,80.86,46.85,5.08
208,Karsava,76,LV,2017-09-08 22:55:14,96,56.78,27.69,54.68,12.24
209,Kasongo-Lunda,8,CD,2017-09-08 22:55:15,93,-6.47,16.82,71.6,2.17
210,Kavaratti,92,IN,2017-09-08 22:55:15,100,10.57,72.64,78.53,10.67
211,Kem,92,RU,2017-09-08 22:55:15,100,64.96,34.58,48.47,13.13
212,Kempten (Allgaeu),0,DE,2017-09-08 22:20:00,100,47.73,10.31,50.0,2.24
213,Kensington,0,AU,2017-09-08 22:00:00,41,-33.92,151.22,66.2,14.99
214,Kharp,68,RU,2017-09-08 22:55:17,75,66.8,65.81,40.91,11.79
215,Kindu,56,CD,2017-09-08 22:55:17,92,-2.95,25.95,71.42,2.73
216,Kjopsvik,0,NO,2017-09-08 21:50:00,66,68.1,16.37,51.8,13.87
217,Klaksvik,92,FO,2017-09-08 22:20:00,76,62.23,-6.59,51.8,20.8
218,Kolaras,0,IN,2017-09-08 22:55:18,62,25.23,77.6,92.57,6.64
219,Kolpashevo,48,RU,2017-09-08 22:55:18,76,58.31,82.91,47.39,10.0
220,Komsomolskiy,0,UZ,2017-09-08 22:30:00,30,40.43,71.72,82.4,6.93
221,Koslan,68,RU,2017-09-08 22:55:19,79,63.46,48.9,44.96,10.11
222,Kozhva,68,RU,2017-09-08 22:55:20,80,65.11,57.05,40.55,7.09
223,Krasnosel’kup,20,RU,2017-09-08 22:55:20,100,65.7,82.47,45.41,11.68
224,Kristiansund,0,NO,2017-09-08 22:20:00,71,63.11,7.73,53.6,5.82
225,Kruisfontein,0,ZA,2017-09-08 22:55:21,93,-34.0,24.73,56.93,6.98
226,Kunda,0,IN,2017-09-08 22:55:21,91,25.72,81.52,91.31,5.97
227,Kutum,0,SD,2017-09-08 22:55:21,57,14.2,24.67,74.75,3.85
228,La Palma,75,US,2017-09-08 22:35:00,82,33.85,-118.05,71.6,3.36
229,La Peca,36,PE,2017-09-08 22:55:22,95,-5.61,-78.44,62.42,1.72
230,Lagdo,20,CM,2017-09-08 22:00:00,100,9.05,13.73,69.8,4.41
231,Lagoa,88,PT,2017-09-08 22:55:23,100,39.05,-27.98,71.51,10.89
